#,start_preprocess,start_inference,end_inference
0,1732125039.8715367,1732125039.9705374,1732125040.049256
1,1732125039.8715367,1732125040.049273,1732125040.1217766
2,1732125039.8715367,1732125040.1217923,1732125040.1941938
3,1732125039.8715367,1732125040.1942098,1732125040.2665052
4,1732125039.8715367,1732125040.2665203,1732125040.3388002
5,1732125039.8715367,1732125040.3388178,1732125040.411158
6,1732125039.8715367,1732125040.4111733,1732125040.4835205
7,1732125039.8715367,1732125040.4835358,1732125040.5559077
8,1732125039.8715367,1732125040.555979,1732125040.6282942
9,1732125039.8715367,1732125040.6283128,1732125040.700695
10,1732125039.8715367,1732125040.7007113,1732125040.7730303
11,1732125039.8715367,1732125040.7730467,1732125040.8453183
12,1732125039.8715367,1732125040.845334,1732125040.9176242
13,1732125039.8715367,1732125040.9176402,1732125040.9899635
14,1732125039.8715367,1732125040.9899802,1732125041.0622938
15,1732125039.8715367,1732125041.06231,1732125041.1347506
16,1732125039.8715367,1732125041.1347663,1732125041.207161
17,1732125039.8715367,1732125041.2071798,1732125041.2794263
18,1732125039.8715367,1732125041.2794428,1732125041.351846
19,1732125039.8715367,1732125041.3518617,1732125041.424244
20,1732125039.8715367,1732125041.4242594,1732125041.4967215
21,1732125039.8715367,1732125041.4967382,1732125041.5690327
22,1732125039.8715367,1732125041.569049,1732125041.6413202
23,1732125039.8715367,1732125041.6413362,1732125041.7136793
24,1732125039.8715367,1732125041.7136953,1732125041.7859302
25,1732125039.8715367,1732125041.7859464,1732125041.8582568
26,1732125039.8715367,1732125041.8582752,1732125041.9306324
27,1732125039.8715367,1732125041.930649,1732125042.0030036
28,1732125039.8715367,1732125042.0030198,1732125042.0754297
29,1732125039.8715367,1732125042.0754452,1732125042.1478448
30,1732125039.8715367,1732125042.147861,1732125042.2203963
31,1732125039.8715367,1732125042.2204123,1732125042.2927692
32,1732125039.8715367,1732125042.2927852,1732125042.3650827
33,1732125039.8715367,1732125042.365099,1732125042.4374146
34,1732125039.8715367,1732125042.4374304,1732125042.5097723
