#,start_preprocess,start_inference,end_inference
0,1732124917.8208327,1732124917.9156592,1732124917.9255471
1,1732124917.8208327,1732124917.9255626,1732124917.9285378
2,1732124917.8208327,1732124917.928546,1732124917.9313357
3,1732124917.8208327,1732124917.9313412,1732124917.9345598
4,1732124917.8208327,1732124917.934571,1732124917.9381077
5,1732124917.8208327,1732124917.938118,1732124917.941955
6,1732124917.8208327,1732124917.9419596,1732124917.9447925
7,1732124917.8208327,1732124917.9447987,1732124917.9486973
8,1732124917.8208327,1732124917.9487033,1732124917.953077
9,1732124917.8208327,1732124917.9530842,1732124917.9569364
10,1732124917.8208327,1732124917.9569426,1732124917.9607673
11,1732124917.8208327,1732124917.9607723,1732124917.9645956
12,1732124917.8208327,1732124917.9646013,1732124917.9684272
13,1732124917.8208327,1732124917.9684324,1732124917.971752
14,1732124917.8208327,1732124917.9717567,1732124917.9756315
15,1732124917.8208327,1732124917.9756365,1732124917.9790597
16,1732124917.8208327,1732124917.9790652,1732124917.9825287
17,1732124917.8208327,1732124917.9825351,1732124917.9864051
18,1732124917.8208327,1732124917.9864101,1732124917.9903407
19,1732124917.8208327,1732124917.9903457,1732124917.9947777
20,1732124917.8208327,1732124917.994783,1732124917.9992487
21,1732124917.8208327,1732124917.9992537,1732124918.0026202
22,1732124917.8208327,1732124918.0026255,1732124918.005984
23,1732124917.8208327,1732124918.005989,1732124918.0094633
24,1732124917.8208327,1732124918.0094686,1732124918.012793
25,1732124917.8208327,1732124918.012798,1732124918.016115
26,1732124917.8208327,1732124918.0161211,1732124918.0194972
27,1732124917.8208327,1732124918.0195022,1732124918.0228524
28,1732124917.8208327,1732124918.0228574,1732124918.0262132
29,1732124917.8208327,1732124918.0262184,1732124918.0296507
30,1732124917.8208327,1732124918.0296564,1732124918.032982
31,1732124917.8208327,1732124918.0329869,1732124918.0363088
32,1732124917.8208327,1732124918.0363138,1732124918.0396893
33,1732124917.8208327,1732124918.0396943,1732124918.0430567
34,1732124917.8208327,1732124918.043062,1732124918.046418
35,1732124917.8208327,1732124918.0464227,1732124918.0498378
36,1732124917.8208327,1732124918.0498447,1732124918.0531971
37,1732124917.8208327,1732124918.0532022,1732124918.0565193
38,1732124917.8208327,1732124918.0565243,1732124918.0598986
39,1732124917.8208327,1732124918.0599034,1732124918.063264
40,1732124917.8208327,1732124918.0632694,1732124918.0667493
41,1732124917.8208327,1732124918.0667546,1732124918.071586
42,1732124917.8208327,1732124918.0715933,1732124918.0750859
43,1732124917.8208327,1732124918.0750895,1732124918.0776906
44,1732124917.8208327,1732124918.077694,1732124918.080367
45,1732124917.8208327,1732124918.0803723,1732124918.0838785
46,1732124917.8208327,1732124918.083884,1732124918.0879881
47,1732124917.8208327,1732124918.0879953,1732124918.0913465
48,1732124917.8208327,1732124918.091352,1732124918.094728
49,1732124917.8208327,1732124918.094733,1732124918.098224
50,1732124917.8208327,1732124918.098229,1732124918.101674
51,1732124917.8208327,1732124918.101679,1732124918.1055238
52,1732124917.8208327,1732124918.1055288,1732124918.1095212
53,1732124917.8208327,1732124918.1095262,1732124918.1135163
54,1732124917.8208327,1732124918.1135213,1732124918.1174865
55,1732124917.8208327,1732124918.1174915,1732124918.1214538
56,1732124917.8208327,1732124918.1214595,1732124918.1254184
57,1732124917.8208327,1732124918.1254237,1732124918.1287591
58,1732124917.8208327,1732124918.128764,1732124918.1320841
59,1732124917.8208327,1732124918.1320944,1732124918.1353996
60,1732124917.8208327,1732124918.135405,1732124918.1387446
61,1732124917.8208327,1732124918.1387496,1732124918.1420984
62,1732124917.8208327,1732124918.1421034,1732124918.1455574
63,1732124917.8208327,1732124918.145563,1732124918.1490219
64,1732124917.8208327,1732124918.149027,1732124918.1523745
65,1732124917.8208327,1732124918.1523793,1732124918.1556857
66,1732124917.8208327,1732124918.1556907,1732124918.1590397
