Time(s)	FPS
0.0960	10.42
0.0950	10.53
0.0950	10.53
0.0950	10.53
0.0940	10.64
0.0950	10.53
0.0940	10.64
0.0950	10.53
0.0930	10.75
0.0930	10.75
0.0920	10.87
0.0930	10.75
0.0930	10.75
0.0930	10.75
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0890	11.24
0.0890	11.24
0.0890	11.24
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0870	11.49
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0890	11.24
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0890	11.24
0.0890	11.24
0.0890	11.24
0.0880	11.36
0.0890	11.24
0.0890	11.24
0.0880	11.36
0.0880	11.36
0.0890	11.24
0.0880	11.36
0.0890	11.24
0.0880	11.36
0.0890	11.24
0.0880	11.36
0.0890	11.24
0.0870	11.49
0.0880	11.36
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0870	11.49
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0840	11.90
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0950	10.53
0.0930	10.75
0.0880	11.36
0.0860	11.63
0.0890	11.24
0.0910	10.99
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0810	12.35
0.0860	11.63
0.0890	11.24
0.0850	11.76
0.0850	11.76
0.0880	11.36
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0900	11.11
0.0860	11.63
0.0860	11.63
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0870	11.49
0.0850	11.76
0.0870	11.49
0.0870	11.49
0.0860	11.63
0.0880	11.36
0.0860	11.63
0.0860	11.63
0.0870	11.49
0.0860	11.63
0.0850	11.76
0.0890	11.24
0.0870	11.49
0.0880	11.36
0.0860	11.63
0.0860	11.63
0.0890	11.24
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0840	11.90
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0840	11.90
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0870	11.49
0.0830	12.05
0.0890	11.24
0.0890	11.24
0.0910	10.99
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0870	11.49
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0890	11.24
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0890	11.24
0.0880	11.36
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0830	12.05
0.0850	11.76
0.0830	12.05
0.0860	11.63
0.0870	11.49
0.0880	11.36
0.0900	11.11
0.0880	11.36
0.0910	10.99
0.0890	11.24
0.0900	11.11
0.0850	11.76
0.0880	11.36
0.0860	11.63
0.0850	11.76
0.0880	11.36
0.0830	12.05
0.0850	11.76
0.0860	11.63
0.0830	12.05
0.0910	10.99
0.0900	11.11
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0880	11.36
0.0850	11.76
0.0860	11.63
0.0830	12.05
0.0830	12.05
0.0830	12.05
0.0850	11.76
0.0830	12.05
0.0830	12.05
0.0840	11.90
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0830	12.05
0.0820	12.20
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0830	12.05
0.0860	11.63
0.0830	12.05
0.0850	11.76
0.0790	12.66
0.0780	12.82
0.0830	12.05
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0770	12.99
0.0860	11.63
0.0850	11.76
0.0870	11.49
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0880	11.36
0.0850	11.76
0.0830	12.05
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0870	11.49
0.0880	11.36
0.0880	11.36
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0830	12.05
0.0850	11.76
0.0850	11.76
0.0830	12.05
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0830	12.05
0.0830	12.05
0.0830	12.05
0.0830	12.05
0.0870	11.49
0.0900	11.11
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0890	11.24
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0880	11.36
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0880	11.36
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0880	11.36
0.0900	11.11
0.0880	11.36
0.0870	11.49
0.0880	11.36
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0900	11.11
0.0880	11.36
0.0850	11.76
0.0880	11.36
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0830	12.05
0.0830	12.05
0.0830	12.05
0.0850	11.76
0.0880	11.36
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0820	12.20
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0830	12.05
0.0860	11.63
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0890	11.24
0.0850	11.76
0.0860	11.63
0.0850	11.76
0.0840	11.90
0.0850	11.76
0.0870	11.49
0.0860	11.63
0.0870	11.49
0.0850	11.76
0.0850	11.76
0.0890	11.24
0.0850	11.76
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0860	11.63
0.0890	11.24
0.0860	11.63
0.0880	11.36
0.0880	11.36
0.0880	11.36
0.0890	11.24
0.0880	11.36
0.0860	11.63
0.0880	11.36
0.0880	11.36
0.0870	11.49
0.0870	11.49
0.0850	11.76
0.0870	11.49
0.0870	11.49
0.0890	11.24
