Time(s)	FPS
3.3970	0.29
3.9170	0.26
3.6170	0.28
3.8900	0.26
3.4520	0.29
3.4010	0.29
3.3510	0.30
3.3140	0.30
3.2090	0.31
3.1370	0.32
3.2810	0.30
3.3570	0.30
3.0830	0.32
2.9660	0.34
3.0330	0.33
3.1370	0.32
3.2280	0.31
2.9300	0.34
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8590	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8530	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8530	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.9210	0.34
2.9950	0.33
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
2.8570	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
3.3560	0.30
3.0350	0.33
2.8540	0.35
2.8550	0.35
2.8870	0.35
2.8540	0.35
2.8540	0.35
2.8540	0.35
2.8560	0.35
2.9090	0.34
3.0880	0.32
3.1630	0.32
3.1660	0.32
3.1410	0.32
2.9450	0.34
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
3.0450	0.33
2.8540	0.35
2.8590	0.35
2.8560	0.35
2.8580	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8530	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8990	0.34
2.8850	0.35
2.8550	0.35
2.8570	0.35
