Time(s)	FPS
0.8910	1.12
0.7990	1.25
0.8290	1.21
0.8000	1.25
0.7990	1.25
0.9250	1.08
1.0410	0.96
0.9600	1.04
0.9300	1.08
0.8960	1.12
0.9200	1.09
1.0090	0.99
0.9720	1.03
1.0130	0.99
0.8080	1.24
0.8070	1.24
0.8900	1.12
0.8460	1.18
0.8010	1.25
0.8040	1.24
0.7990	1.25
0.8220	1.22
0.8020	1.25
0.8430	1.19
0.8190	1.22
0.8320	1.20
0.8020	1.25
0.8030	1.25
0.8030	1.25
0.8320	1.20
0.8030	1.25
0.8020	1.25
0.8640	1.16
0.8030	1.25
0.8030	1.25
0.8020	1.25
0.8020	1.25
0.8030	1.25
0.8020	1.25
1.1770	0.85
1.2270	0.81
0.8630	1.16
0.7830	1.28
0.7940	1.26
0.7490	1.34
0.7730	1.29
0.7970	1.25
0.7450	1.34
0.7160	1.40
0.7270	1.38
0.7160	1.40
0.7150	1.40
0.7340	1.36
0.7270	1.38
0.7490	1.34
0.7090	1.41
0.8340	1.20
0.7800	1.28
0.7290	1.37
0.7840	1.28
0.7660	1.31
0.8150	1.23
0.7660	1.31
0.7480	1.34
0.8000	1.25
0.7560	1.32
0.7210	1.39
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6910	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.7570	1.32
0.7240	1.38
0.7490	1.34
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
