Time(s)	FPS
0.6080	1.64
0.5200	1.92
0.4820	2.07
0.4820	2.07
0.5070	1.97
0.4820	2.07
0.4820	2.07
0.4820	2.07
0.5200	1.92
0.4950	2.02
0.6010	1.66
0.5640	1.77
0.6740	1.48
0.5690	1.76
0.6080	1.64
0.5350	1.87
0.4610	2.17
0.4720	2.12
0.4700	2.13
0.5790	1.73
0.6110	1.64
0.5360	1.87
0.4500	2.22
0.4680	2.14
0.4770	2.10
0.4770	2.10
0.5230	1.91
0.5110	1.96
0.4800	2.08
0.5280	1.89
0.4760	2.10
0.4770	2.10
0.4950	2.02
0.4750	2.11
0.4820	2.07
0.4760	2.10
0.4770	2.10
0.4760	2.10
0.4770	2.10
0.5150	1.94
0.4760	2.10
0.4770	2.10
0.5040	1.98
0.4760	2.10
0.4770	2.10
0.4770	2.10
0.4760	2.10
0.5010	2.00
0.4780	2.09
0.4770	2.10
0.4780	2.09
0.4770	2.10
0.4770	2.10
0.5110	1.96
0.4760	2.10
0.4780	2.09
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.4770	2.10
0.6670	1.50
0.6750	1.48
0.6810	1.47
0.7110	1.41
0.4120	2.43
0.4600	2.17
0.4470	2.24
0.4550	2.20
0.4770	2.10
0.5980	1.67
0.4430	2.26
0.4220	2.37
0.4600	2.17
0.4250	2.35
0.4300	2.33
0.4810	2.08
0.4630	2.16
0.4670	2.14
0.4370	2.29
0.4320	2.31
0.4900	2.04
0.4670	2.14
0.4520	2.21
0.4890	2.04
0.4890	2.04
0.4560	2.19
0.4610	2.17
0.4640	2.16
0.4890	2.04
0.4580	2.18
0.4180	2.39
0.4960	2.02
0.4790	2.09
0.4310	2.32
0.4280	2.34
0.4510	2.22
0.4410	2.27
0.4720	2.12
0.4310	2.32
0.4280	2.34
0.4290	2.33
0.4240	2.36
0.4320	2.31
0.4310	2.32
0.4220	2.37
0.4600	2.17
0.4260	2.35
0.4250	2.35
0.5070	1.97
0.5070	1.97
0.4310	2.32
0.4510	2.22
0.5010	2.00
0.4700	2.13
0.4320	2.31
0.4490	2.23
0.4660	2.15
0.4540	2.20
0.5070	1.97
0.4150	2.41
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4700	2.13
0.4520	2.21
0.4160	2.40
0.4560	2.19
0.4280	2.34
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4100	2.44
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4100	2.44
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4140	2.42
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4280	2.34
0.4430	2.26
0.4460	2.24
0.4460	2.24
0.4450	2.25
0.4560	2.19
0.4140	2.42
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4100	2.44
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4100	2.44
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4130	2.42
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4130	2.42
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4110	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
0.4120	2.43
