Time(s)	FPS
0.1360	7.35
0.1770	5.65
0.1100	9.09
0.1000	10.00
0.1050	9.52
0.1160	8.62
0.1340	7.46
0.0930	10.75
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1170	8.55
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0930	10.75
0.1350	7.41
0.0870	11.49
0.0860	11.63
0.0900	11.11
0.1070	9.35
0.0890	11.24
0.0910	10.99
0.1180	8.47
0.1170	8.55
0.0980	10.20
0.0850	11.76
0.1050	9.52
0.1410	7.09
0.1000	10.00
0.0900	11.11
0.0890	11.24
0.1330	7.52
0.0920	10.87
0.0840	11.90
0.0970	10.31
0.1120	8.93
0.1230	8.13
0.1280	7.81
0.1190	8.40
0.1140	8.77
0.1400	7.14
0.0890	11.24
0.0880	11.36
0.1400	7.14
0.0850	11.76
0.1020	9.80
0.0940	10.64
0.0850	11.76
0.1160	8.62
0.0920	10.87
0.0940	10.64
0.1030	9.71
0.1250	8.00
0.0880	11.36
0.0920	10.87
0.0890	11.24
0.1430	6.99
0.0940	10.64
0.1160	8.62
0.1160	8.62
0.1060	9.43
0.0820	12.20
0.1110	9.01
0.1100	9.09
0.0880	11.36
0.1240	8.06
0.1000	10.00
0.0900	11.11
0.1030	9.71
0.1550	6.45
0.1430	6.99
0.1110	9.01
0.0940	10.64
0.1180	8.47
0.1400	7.14
0.0900	11.11
0.0880	11.36
0.0880	11.36
0.1400	7.14
0.0880	11.36
0.1440	6.94
0.0920	10.87
0.1380	7.25
0.0910	10.99
0.0850	11.76
0.1130	8.85
0.1170	8.55
0.0890	11.24
0.0990	10.10
0.0990	10.10
0.1130	8.85
0.0820	12.20
0.0890	11.24
0.1470	6.80
0.0960	10.42
0.0820	12.20
0.1070	9.35
0.1210	8.26
0.0880	11.36
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.1100	9.09
0.1350	7.41
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1100	9.09
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1540	6.49
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1090	9.17
0.1500	6.67
0.0900	11.11
0.0890	11.24
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0890	11.24
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0890	11.24
0.0960	10.42
0.1480	6.76
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.1080	9.26
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1020	9.80
0.1200	8.33
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0930	10.75
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0940	10.64
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0890	11.24
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0910	10.99
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.0900	11.11
0.1030	9.71
0.1240	8.06
0.0940	10.64
0.0870	11.49
0.1480	6.76
0.1560	6.41
0.1660	6.02
0.1480	6.76
0.1420	7.04
0.1120	8.93
0.1440	6.94
0.1530	6.54
0.1410	7.09
0.1540	6.49
0.1490	6.71
0.1850	5.41
0.1410	7.09
0.1370	7.30
0.1230	8.13
0.0780	12.82
0.0780	12.82
0.0880	11.36
0.1170	8.55
0.1230	8.13
0.1180	8.47
0.0850	11.76
0.0780	12.82
0.0810	12.35
0.0770	12.99
0.0770	12.99
0.0830	12.05
0.0780	12.82
0.0810	12.35
0.1130	8.85
0.0800	12.50
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0800	12.50
0.1120	8.93
0.0780	12.82
0.0850	11.76
0.1030	9.71
0.0810	12.35
0.1300	7.69
0.1040	9.62
0.0810	12.35
0.0780	12.82
0.0920	10.87
0.0770	12.99
0.0810	12.35
0.0790	12.66
0.0780	12.82
0.0800	12.50
0.0780	12.82
0.0850	11.76
0.0780	12.82
0.0830	12.05
0.0810	12.35
0.0780	12.82
0.0830	12.05
0.0810	12.35
0.0850	11.76
0.0810	12.35
0.0780	12.82
0.0890	11.24
0.0770	12.99
0.0880	11.36
0.0790	12.66
0.0790	12.66
0.0800	12.50
0.0780	12.82
0.0810	12.35
0.0790	12.66
0.0810	12.35
0.0800	12.50
0.0780	12.82
0.0870	11.49
0.0770	12.99
0.0830	12.05
0.0810	12.35
0.0800	12.50
0.1070	9.35
0.0800	12.50
0.0830	12.05
0.0780	12.82
0.0830	12.05
0.0800	12.50
0.0840	11.90
0.0770	12.99
0.0770	12.99
0.0850	11.76
0.0770	12.99
0.1060	9.43
0.0800	12.50
0.0770	12.99
0.0810	12.35
0.1260	7.94
0.0880	11.36
0.1170	8.55
0.1070	9.35
0.1100	9.09
0.1010	9.90
0.0770	12.99
0.0850	11.76
0.0810	12.35
0.0770	12.99
0.0880	11.36
0.0780	12.82
0.0810	12.35
0.1280	7.81
0.0810	12.35
0.1060	9.43
0.0850	11.76
0.1370	7.30
0.1290	7.75
0.0850	11.76
0.0900	11.11
0.0770	12.99
0.0840	11.90
0.0810	12.35
0.0770	12.99
0.0840	11.90
0.0780	12.82
0.0890	11.24
0.0810	12.35
0.0770	12.99
0.1110	9.01
0.0780	12.82
0.0900	11.11
0.0770	12.99
0.0850	11.76
0.1300	7.69
0.0880	11.36
0.0820	12.20
0.0850	11.76
0.1280	7.81
0.0810	12.35
0.0800	12.50
0.0780	12.82
0.1130	8.85
0.0810	12.35
0.1160	8.62
0.0810	12.35
0.0780	12.82
0.0860	11.63
0.0780	12.82
0.0890	11.24
0.1360	7.35
0.0820	12.20
0.0780	12.82
0.0810	12.35
0.1040	9.62
0.0770	12.99
0.0860	11.63
0.0780	12.82
0.0850	11.76
0.1040	9.62
0.0880	11.36
0.0810	12.35
0.0780	12.82
0.1040	9.62
0.0830	12.05
0.0860	11.63
0.0810	12.35
0.0840	11.90
0.0800	12.50
0.0780	12.82
0.0830	12.05
0.0780	12.82
0.0920	10.87
0.0810	12.35
0.0780	12.82
0.0920	10.87
0.0780	12.82
0.0810	12.35
0.0790	12.66
0.0770	12.99
0.0890	11.24
0.0880	11.36
0.0810	12.35
0.0770	12.99
0.0890	11.24
0.1030	9.71
0.0770	12.99
0.0870	11.49
0.0780	12.82
0.0840	11.90
0.0800	12.50
0.0810	12.35
0.0810	12.35
0.0780	12.82
0.0920	10.87
0.0860	11.63
0.0840	11.90
0.1150	8.70
0.0880	11.36
0.0830	12.05
0.0770	12.99
0.0870	11.49
0.0800	12.50
0.0840	11.90
0.0800	12.50
0.0780	12.82
0.0920	10.87
0.0810	12.35
0.0930	10.75
0.0790	12.66
0.0780	12.82
0.0830	12.05
0.0770	12.99
0.0800	12.50
0.0790	12.66
0.0770	12.99
0.0970	10.31
0.0780	12.82
0.0830	12.05
0.0810	12.35
0.0850	11.76
0.0820	12.20
0.0770	12.99
0.0890	11.24
0.0770	12.99
0.0860	11.63
0.0790	12.66
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0830	12.05
0.0780	12.82
0.0850	11.76
0.0780	12.82
0.0810	12.35
0.0800	12.50
0.0780	12.82
0.0840	11.90
0.0800	12.50
0.0850	11.76
0.0810	12.35
0.0780	12.82
0.0890	11.24
0.0780	12.82
0.0870	11.49
0.0780	12.82
0.0840	11.90
0.0790	12.66
0.0780	12.82
0.0830	12.05
0.0770	12.99
0.0810	12.35
0.0800	12.50
0.0810	12.35
0.0860	11.63
0.0780	12.82
0.0840	11.90
0.0810	12.35
0.0850	11.76
0.0810	12.35
0.0780	12.82
0.0880	11.36
0.0780	12.82
0.0850	11.76
0.0940	10.64
0.0880	11.36
0.0810	12.35
0.0850	11.76
0.0810	12.35
0.0780	12.82
0.0880	11.36
0.0790	12.66
0.0810	12.35
0.0790	12.66
0.0780	12.82
0.0810	12.35
0.0780	12.82
0.0870	11.49
0.1360	7.35
0.1000	10.00
0.0840	11.90
0.1020	9.80
0.0780	12.82
0.0990	10.10
0.0770	12.99
0.0930	10.75
0.0800	12.50
0.0770	12.99
0.0860	11.63
0.0930	10.75
0.0890	11.24
0.1020	9.80
0.1000	10.00
0.0810	12.35
0.0770	12.99
0.0890	11.24
0.0770	12.99
0.0810	12.35
0.0820	12.20
0.0770	12.99
0.0930	10.75
0.0780	12.82
0.0810	12.35
0.1010	9.90
0.0850	11.76
0.1050	9.52
0.0780	12.82
0.0800	12.50
0.0780	12.82
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.1080	9.26
0.0770	12.99
0.1100	9.09
0.0770	12.99
0.0930	10.75
0.0780	12.82
0.0860	11.63
0.0780	12.82
0.0810	12.35
0.0790	12.66
0.0780	12.82
0.0870	11.49
0.0920	10.87
0.0960	10.42
0.0990	10.10
0.0890	11.24
0.1100	9.09
0.0820	12.20
0.1040	9.62
0.0890	11.24
0.1030	9.71
0.0810	12.35
0.0870	11.49
0.0770	12.99
0.0850	11.76
0.0810	12.35
0.0780	12.82
0.0820	12.20
0.0770	12.99
0.0930	10.75
0.0780	12.82
0.0810	12.35
0.1010	9.90
0.0810	12.35
0.0850	11.76
0.0770	12.99
0.0970	10.31
0.0900	11.11
0.0870	11.49
0.0800	12.50
0.0780	12.82
0.1080	9.26
0.0780	12.82
0.0830	12.05
0.0770	12.99
0.0900	11.11
0.1140	8.77
0.0830	12.05
0.1070	9.35
0.0780	12.82
0.1190	8.40
0.0800	12.50
0.0780	12.82
0.0810	12.35
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0780	12.82
0.0770	12.99
0.0780	12.82
0.0770	12.99
0.0780	12.82
