#,start_preprocess,start_inference,end_inference
0,1732135363.514949,1732135363.5169744,1732135363.5262084
1,1732135363.5286095,1732135363.5298514,1732135363.5306163
2,1732135363.531733,1732135363.5327077,1732135363.5333574
3,1732135363.535392,1732135363.5361514,1732135363.5367157
4,1732135363.5380268,1732135363.538708,1732135363.5392396
5,1732135363.5406914,1732135363.5415955,1732135363.5421476
6,1732135363.544793,1732135363.545362,1732135363.5458562
7,1732135363.5489113,1732135363.5512273,1732135363.5525224
8,1732135363.5530016,1732135363.5537229,1732135363.5543811
9,1732135363.554687,1732135363.5553286,1732135363.5558352
10,1732135363.5562074,1732135363.5568717,1732135363.5573704
11,1732135363.5577495,1732135363.5583394,1732135363.5588105
12,1732135363.5630145,1732135363.5638306,1732135363.5642798
13,1732135363.5653844,1732135363.5660229,1732135363.5665364
14,1732135363.5692227,1732135363.5697794,1732135363.5702076
15,1732135363.5718243,1732135363.572399,1732135363.5729475
16,1732135363.5743723,1732135363.5749257,1732135363.5753136
17,1732135363.5785134,1732135363.5792367,1732135363.5798156
18,1732135363.5832279,1732135363.5840044,1732135363.584533
19,1732135363.5855603,1732135363.5863907,1732135363.5870407
20,1732135363.5872757,1732135363.5881073,1732135363.5886638
21,1732135363.5890148,1732135363.5898285,1732135363.5903072
22,1732135363.592079,1732135363.592951,1732135363.593392
23,1732135363.5961516,1732135363.5970674,1732135363.5975616
24,1732135363.599413,1732135363.600303,1732135363.6008918
25,1732135363.6019764,1732135363.6025064,1732135363.602857
26,1732135363.6045678,1732135363.6051543,1732135363.6055331
27,1732135363.607136,1732135363.607681,1732135363.608009
28,1732135363.6113124,1732135363.6122537,1732135363.612931
29,1732135363.6136987,1732135363.6146176,1732135363.615151
30,1732135363.6155255,1732135363.6164277,1732135363.6170385
31,1732135363.6172895,1732135363.6181936,1732135363.618707
32,1732135363.619076,1732135363.6198974,1732135363.6203792
33,1732135363.6207678,1732135363.6216202,1732135363.622078
34,1732135363.624384,1732135363.6252997,1732135363.6257932
35,1732135363.629431,1732135363.630375,1732135363.630962
36,1732135363.6320055,1732135363.6330507,1732135363.6336691
37,1732135363.6345582,1732135363.6354692,1732135363.6359854
38,1732135363.6371977,1732135363.6382442,1732135363.6388323
39,1732135363.6404946,1732135363.6414845,1732135363.6420093
40,1732135363.6428802,1732135363.6438053,1732135363.6443017
41,1732135363.6464183,1732135363.6474245,1732135363.6479917
42,1732135363.6483188,1732135363.6493013,1732135363.6498387
43,1732135363.6502237,1732135363.651118,1732135363.6516345
44,1732135363.65201,1732135363.6529622,1732135363.6534648
45,1732135363.6555707,1732135363.656464,1732135363.657037
46,1732135363.6582668,1732135363.659506,1732135363.660108
47,1732135363.6629002,1732135363.6635096,1732135363.6638873
48,1732135363.6654143,1732135363.6659803,1732135363.6663156
49,1732135363.6680033,1732135363.6685584,1732135363.6689398
50,1732135363.6706812,1732135363.6712327,1732135363.671579
51,1732135363.6733515,1732135363.6738987,1732135363.6742535
52,1732135363.6759899,1732135363.6765468,1732135363.6769428
53,1732135363.6802816,1732135363.6808379,1732135363.6811578
54,1732135363.6829386,1732135363.6838374,1732135363.6843276
55,1732135363.688392,1732135363.689432,1732135363.6899872
56,1732135363.6909726,1732135363.691951,1732135363.6924798
57,1732135363.6957803,1732135363.696754,1732135363.6973233
58,1732135363.6984105,1732135363.6993833,1732135363.6999183
59,1732135363.7009869,1732135363.701974,1732135363.7025285
60,1732135363.7035606,1732135363.704536,1732135363.7051837
61,1732135363.7062216,1732135363.707203,1732135363.7077377
62,1732135363.709939,1732135363.7109199,1732135363.7114594
63,1732135363.7132308,1732135363.7141988,1732135363.7147658
64,1732135363.7150068,1732135363.7159781,1732135363.7165482
65,1732135363.7168164,1732135363.7177954,1732135363.7183232
66,1732135363.719333,1732135363.7202995,1732135363.7208788
67,1732135363.721375,1732135363.7223427,1732135363.7228844
68,1732135363.723122,1732135363.7240875,1732135363.7246456
69,1732135363.7249444,1732135363.725916,1732135363.7264478
70,1732135363.727254,1732135363.7281413,1732135363.7286687
71,1732135363.728953,1732135363.7299337,1732135363.7304714
72,1732135363.7317917,1732135363.7327592,1732135363.7333474
73,1732135363.7335873,1732135363.734559,1732135363.7351007
74,1732135363.7353332,1732135363.7363029,1732135363.7369378
75,1732135363.7371593,1732135363.738045,1732135363.73857
76,1732135363.7387874,1732135363.739669,1732135363.7401679
77,1732135363.7403815,1732135363.7412765,1732135363.7417588
78,1732135363.7419684,1732135363.7427816,1732135363.7432306
79,1732135363.743973,1732135363.7449229,1732135363.7454326
80,1732135363.7456515,1732135363.746535,1732135363.7470412
81,1732135363.747257,1732135363.7481296,1732135363.7486162
82,1732135363.750049,1732135363.7509317,1732135363.7514293
83,1732135363.751722,1732135363.7526007,1732135363.7531738
84,1732135363.7533858,1732135363.754259,1732135363.7547603
85,1732135363.754971,1732135363.755845,1732135363.7563438
86,1732135363.7565548,1732135363.757438,1732135363.7579184
87,1732135363.7581294,1732135363.7589333,1732135363.7593865
88,1732135363.7605677,1732135363.7613997,1732135363.7618737
89,1732135363.7620797,1732135363.7628853,1732135363.763349
