UNIX time;Local time;current1;current2
1732125038.964;2024-11-20T21:50:38.964;716;0
1732125039.964;2024-11-20T21:50:39.964;838;0
1732125040.964;2024-11-20T21:50:40.964;831;0
1732125041.964;2024-11-20T21:50:41.964;832;0
1732125042.964;2024-11-20T21:50:42.964;828;0
1732125043.964;2024-11-20T21:50:43.964;826;0
1732125044.964;2024-11-20T21:50:44.964;825;0
1732125045.964;2024-11-20T21:50:45.964;832;0
1732125046.964;2024-11-20T21:50:46.964;841;0
1732125047.964;2024-11-20T21:50:47.964;839;0
1732125048.964;2024-11-20T21:50:48.964;849;0
1732125049.964;2024-11-20T21:50:49.964;844;0
1732125050.964;2024-11-20T21:50:50.964;846;0
1732125051.964;2024-11-20T21:50:51.964;852;0
1732125052.964;2024-11-20T21:50:52.964;851;0
1732125053.964;2024-11-20T21:50:53.964;836;0
1732125054.964;2024-11-20T21:50:54.964;830;0
1732125055.964;2024-11-20T21:50:55.964;847;0
1732125056.964;2024-11-20T21:50:56.964;848;0
1732125057.964;2024-11-20T21:50:57.964;839;0
1732125058.964;2024-11-20T21:50:58.964;856;0
1732125059.964;2024-11-20T21:50:59.964;844;0
1732125060.964;2024-11-20T21:51:00.964;842;0
1732125061.964;2024-11-20T21:51:01.964;874;0
1732125062.964;2024-11-20T21:51:02.964;835;0
1732125063.964;2024-11-20T21:51:03.964;853;0
1732125064.964;2024-11-20T21:51:04.964;855;0
1732125065.964;2024-11-20T21:51:05.964;834;0
1732125066.964;2024-11-20T21:51:06.964;830;0
1732125067.964;2024-11-20T21:51:07.964;850;0
1732125068.964;2024-11-20T21:51:08.964;851;0
1732125069.964;2024-11-20T21:51:09.964;836;0
1732125070.964;2024-11-20T21:51:10.964;840;0
1732125071.964;2024-11-20T21:51:11.964;832;0
1732125072.964;2024-11-20T21:51:12.964;841;0
1732125073.964;2024-11-20T21:51:13.964;837;0
1732125074.964;2024-11-20T21:51:14.964;836;0
1732125075.964;2024-11-20T21:51:15.964;838;0
1732125076.964;2024-11-20T21:51:16.964;835;0
1732125077.964;2024-11-20T21:51:17.964;831;0
1732125078.964;2024-11-20T21:51:18.964;832;0
1732125079.964;2024-11-20T21:51:19.964;834;0
1732125080.964;2024-11-20T21:51:20.964;838;0
1732125081.964;2024-11-20T21:51:21.964;860;0
1732125082.964;2024-11-20T21:51:22.964;851;0
1732125083.964;2024-11-20T21:51:23.964;833;0
1732125084.964;2024-11-20T21:51:24.964;833;0
1732125085.964;2024-11-20T21:51:25.964;835;0
1732125086.964;2024-11-20T21:51:26.964;838;0
1732125087.964;2024-11-20T21:51:27.964;855;0
1732125088.964;2024-11-20T21:51:28.964;851;0
1732125089.964;2024-11-20T21:51:29.964;834;0
1732125090.964;2024-11-20T21:51:30.964;844;0
1732125091.964;2024-11-20T21:51:31.964;839;0
1732125092.964;2024-11-20T21:51:32.964;857;0
1732125093.964;2024-11-20T21:51:33.964;838;0
1732125094.964;2024-11-20T21:51:34.964;851;0
1732125095.964;2024-11-20T21:51:35.964;835;0
1732125096.964;2024-11-20T21:51:36.964;837;0
1732125097.964;2024-11-20T21:51:37.964;857;0
1732125098.964;2024-11-20T21:51:38.964;843;0
1732125099.964;2024-11-20T21:51:39.964;856;0
1732125100.964;2024-11-20T21:51:40.964;851;0
1732125101.964;2024-11-20T21:51:41.964;853;0
1732125102.964;2024-11-20T21:51:42.964;848;0
1732125103.964;2024-11-20T21:51:43.964;844;0
1732125104.964;2024-11-20T21:51:44.964;858;0
1732125105.964;2024-11-20T21:51:45.964;841;0
1732125106.964;2024-11-20T21:51:46.964;836;0
1732125107.964;2024-11-20T21:51:47.964;839;0
1732125108.964;2024-11-20T21:51:48.964;841;0
1732125109.964;2024-11-20T21:51:49.964;858;0
1732125110.964;2024-11-20T21:51:50.964;854;0
1732125111.964;2024-11-20T21:51:51.964;834;0
1732125112.964;2024-11-20T21:51:52.964;622;0
1732125113.964;2024-11-20T21:51:53.964;621;0
