UNIX time;Local time;current1;current2
1732124916.964;2024-11-20T21:48:36.964;712;0
1732124917.964;2024-11-20T21:48:37.964;772;0
1732124918.964;2024-11-20T21:48:38.964;762;0
1732124919.964;2024-11-20T21:48:39.964;762;0
1732124920.964;2024-11-20T21:48:40.964;765;0
1732124921.964;2024-11-20T21:48:41.964;613;0
1732124922.964;2024-11-20T21:48:42.964;613;0
1732124923.964;2024-11-20T21:48:43.964;612;0
1732124924.964;2024-11-20T21:48:44.964;611;0
1732124925.964;2024-11-20T21:48:45.964;612;0
1732124926.964;2024-11-20T21:48:46.964;613;0
