UNIX time;Local time;current1;current2
1732125781.964;2024-11-20T22:03:01.964;749;0
1732125782.964;2024-11-20T22:03:02.964;864;0
1732125783.964;2024-11-20T22:03:03.964;838;0
1732125784.964;2024-11-20T22:03:04.964;836;0
1732125785.964;2024-11-20T22:03:05.964;838;0
1732125786.964;2024-11-20T22:03:06.964;836;0
1732125787.964;2024-11-20T22:03:07.964;833;0
1732125788.964;2024-11-20T22:03:08.964;834;0
1732125789.964;2024-11-20T22:03:09.964;832;0
1732125790.964;2024-11-20T22:03:10.964;834;0
1732125791.964;2024-11-20T22:03:11.964;836;0
1732125792.964;2024-11-20T22:03:12.964;874;0
1732125793.964;2024-11-20T22:03:13.964;834;0
1732125794.964;2024-11-20T22:03:14.964;617;0
