UNIX time;Local time;current1;current2
1731790377.34;2024-11-17T00:52:57.340;196;0
1731790377.35;2024-11-17T00:52:57.350;196;0
1731790377.36;2024-11-17T00:52:57.360;196;0
1731790377.37;2024-11-17T00:52:57.370;196;0
1731790377.38;2024-11-17T00:52:57.380;196;0
1731790377.39;2024-11-17T00:52:57.390;196;0
1731790377.4;2024-11-17T00:52:57.400;196;0
1731790377.41;2024-11-17T00:52:57.410;196;0
1731790377.42;2024-11-17T00:52:57.420;197;0
1731790377.43;2024-11-17T00:52:57.430;197;0
1731790377.44;2024-11-17T00:52:57.440;197;0
1731790377.45;2024-11-17T00:52:57.450;197;0
1731790377.46;2024-11-17T00:52:57.460;197;0
1731790377.47;2024-11-17T00:52:57.470;197;0
1731790377.48;2024-11-17T00:52:57.480;197;0
1731790377.49;2024-11-17T00:52:57.490;197;0
1731790377.5;2024-11-17T00:52:57.500;197;0
1731790377.51;2024-11-17T00:52:57.510;197;0
1731790377.52;2024-11-17T00:52:57.520;196;0
1731790377.53;2024-11-17T00:52:57.530;196;0
1731790377.54;2024-11-17T00:52:57.540;196;0
1731790377.55;2024-11-17T00:52:57.550;196;0
1731790377.56;2024-11-17T00:52:57.560;196;0
1731790377.57;2024-11-17T00:52:57.570;196;0
1731790377.58;2024-11-17T00:52:57.580;196;0
1731790377.59;2024-11-17T00:52:57.590;196;0
1731790377.6;2024-11-17T00:52:57.600;196;0
1731790377.61;2024-11-17T00:52:57.610;196;0
1731790377.62;2024-11-17T00:52:57.620;195;0
1731790377.63;2024-11-17T00:52:57.630;195;0
1731790377.64;2024-11-17T00:52:57.640;195;0
1731790377.65;2024-11-17T00:52:57.650;195;0
1731790377.66;2024-11-17T00:52:57.660;195;0
1731790377.67;2024-11-17T00:52:57.670;195;0
1731790377.68;2024-11-17T00:52:57.680;195;0
1731790377.69;2024-11-17T00:52:57.690;195;0
1731790377.7;2024-11-17T00:52:57.700;195;0
1731790377.71;2024-11-17T00:52:57.710;195;0
1731790377.72;2024-11-17T00:52:57.720;196;0
1731790377.73;2024-11-17T00:52:57.730;196;0
1731790377.74;2024-11-17T00:52:57.740;196;0
1731790377.75;2024-11-17T00:52:57.750;196;0
1731790377.76;2024-11-17T00:52:57.760;196;0
1731790377.77;2024-11-17T00:52:57.770;196;0
1731790377.78;2024-11-17T00:52:57.780;196;0
1731790377.79;2024-11-17T00:52:57.790;196;0
1731790377.8;2024-11-17T00:52:57.800;196;0
1731790377.81;2024-11-17T00:52:57.810;196;0
1731790377.82;2024-11-17T00:52:57.820;199;0
1731790377.83;2024-11-17T00:52:57.830;199;0
1731790377.84;2024-11-17T00:52:57.840;199;0
1731790377.85;2024-11-17T00:52:57.850;199;0
1731790377.86;2024-11-17T00:52:57.860;199;0
1731790377.87;2024-11-17T00:52:57.870;199;0
1731790377.88;2024-11-17T00:52:57.880;199;0
1731790377.89;2024-11-17T00:52:57.890;199;0
1731790377.9;2024-11-17T00:52:57.900;199;0
1731790377.91;2024-11-17T00:52:57.910;199;0
1731790377.92;2024-11-17T00:52:57.920;195;0
1731790377.93;2024-11-17T00:52:57.930;195;0
1731790377.94;2024-11-17T00:52:57.940;195;0
1731790377.95;2024-11-17T00:52:57.950;195;0
1731790377.96;2024-11-17T00:52:57.960;195;0
1731790377.97;2024-11-17T00:52:57.970;195;0
1731790377.98;2024-11-17T00:52:57.980;195;0
1731790377.99;2024-11-17T00:52:57.990;195;0
1731790378;2024-11-17T00:52:58.000;195;0
1731790378.01;2024-11-17T00:52:58.010;195;0
1731790378.02;2024-11-17T00:52:58.020;196;0
1731790378.03;2024-11-17T00:52:58.030;196;0
1731790378.04;2024-11-17T00:52:58.040;196;0
1731790378.05;2024-11-17T00:52:58.050;196;0
1731790378.06;2024-11-17T00:52:58.060;196;0
1731790378.07;2024-11-17T00:52:58.070;196;0
1731790378.08;2024-11-17T00:52:58.080;196;0
1731790378.09;2024-11-17T00:52:58.090;196;0
1731790378.1;2024-11-17T00:52:58.100;196;0
1731790378.11;2024-11-17T00:52:58.110;196;0
1731790378.12;2024-11-17T00:52:58.120;197;0
1731790378.13;2024-11-17T00:52:58.130;197;0
1731790378.14;2024-11-17T00:52:58.140;197;0
1731790378.15;2024-11-17T00:52:58.150;197;0
1731790378.16;2024-11-17T00:52:58.160;197;0
1731790378.17;2024-11-17T00:52:58.170;197;0
1731790378.18;2024-11-17T00:52:58.180;197;0
1731790378.19;2024-11-17T00:52:58.190;197;0
1731790378.2;2024-11-17T00:52:58.200;197;0
1731790378.21;2024-11-17T00:52:58.210;197;0
1731790378.22;2024-11-17T00:52:58.220;197;0
1731790378.23;2024-11-17T00:52:58.230;197;0
1731790378.24;2024-11-17T00:52:58.240;197;0
1731790378.25;2024-11-17T00:52:58.250;197;0
1731790378.26;2024-11-17T00:52:58.260;197;0
1731790378.27;2024-11-17T00:52:58.270;197;0
1731790378.28;2024-11-17T00:52:58.280;197;0
1731790378.29;2024-11-17T00:52:58.290;197;0
1731790378.3;2024-11-17T00:52:58.300;197;0
1731790378.31;2024-11-17T00:52:58.310;197;0
1731790378.32;2024-11-17T00:52:58.320;196;0
1731790378.33;2024-11-17T00:52:58.330;196;0
1731790378.34;2024-11-17T00:52:58.340;196;0
1731790378.35;2024-11-17T00:52:58.350;196;0
1731790378.36;2024-11-17T00:52:58.360;196;0
1731790378.37;2024-11-17T00:52:58.370;196;0
1731790378.38;2024-11-17T00:52:58.380;196;0
1731790378.39;2024-11-17T00:52:58.390;196;0
1731790378.4;2024-11-17T00:52:58.400;196;0
1731790378.41;2024-11-17T00:52:58.410;196;0
1731790378.42;2024-11-17T00:52:58.420;197;0
1731790378.43;2024-11-17T00:52:58.430;197;0
1731790378.44;2024-11-17T00:52:58.440;197;0
1731790378.45;2024-11-17T00:52:58.450;197;0
1731790378.46;2024-11-17T00:52:58.460;197;0
1731790378.47;2024-11-17T00:52:58.470;197;0
1731790378.48;2024-11-17T00:52:58.480;197;0
1731790378.49;2024-11-17T00:52:58.490;197;0
1731790378.5;2024-11-17T00:52:58.500;197;0
1731790378.51;2024-11-17T00:52:58.510;197;0
1731790378.52;2024-11-17T00:52:58.520;196;0
1731790378.53;2024-11-17T00:52:58.530;196;0
1731790378.54;2024-11-17T00:52:58.540;196;0
1731790378.55;2024-11-17T00:52:58.550;196;0
1731790378.56;2024-11-17T00:52:58.560;196;0
1731790378.57;2024-11-17T00:52:58.570;196;0
1731790378.58;2024-11-17T00:52:58.580;196;0
1731790378.59;2024-11-17T00:52:58.590;196;0
1731790378.6;2024-11-17T00:52:58.600;196;0
1731790378.61;2024-11-17T00:52:58.610;196;0
1731790378.62;2024-11-17T00:52:58.620;196;0
1731790378.63;2024-11-17T00:52:58.630;196;0
1731790378.64;2024-11-17T00:52:58.640;196;0
1731790378.65;2024-11-17T00:52:58.650;196;0
1731790378.66;2024-11-17T00:52:58.660;196;0
1731790378.67;2024-11-17T00:52:58.670;196;0
1731790378.68;2024-11-17T00:52:58.680;196;0
1731790378.69;2024-11-17T00:52:58.690;196;0
1731790378.7;2024-11-17T00:52:58.700;196;0
1731790378.71;2024-11-17T00:52:58.710;196;0
1731790378.72;2024-11-17T00:52:58.720;196;0
1731790378.73;2024-11-17T00:52:58.730;196;0
1731790378.74;2024-11-17T00:52:58.740;196;0
1731790378.75;2024-11-17T00:52:58.750;196;0
1731790378.76;2024-11-17T00:52:58.760;196;0
1731790378.77;2024-11-17T00:52:58.770;196;0
1731790378.78;2024-11-17T00:52:58.780;196;0
1731790378.79;2024-11-17T00:52:58.790;196;0
1731790378.8;2024-11-17T00:52:58.800;196;0
1731790378.81;2024-11-17T00:52:58.810;196;0
1731790378.82;2024-11-17T00:52:58.820;196;0
