UNIX time;Local time;current1;current2
1731789358.02;2024-11-17T00:35:58.020;186;0
1731789358.03;2024-11-17T00:35:58.030;186;0
1731789358.04;2024-11-17T00:35:58.040;186;0
1731789358.05;2024-11-17T00:35:58.050;188;0
1731789358.06;2024-11-17T00:35:58.060;188;0
1731789358.07;2024-11-17T00:35:58.070;188;0
1731789358.08;2024-11-17T00:35:58.080;188;0
1731789358.09;2024-11-17T00:35:58.090;188;0
1731789358.1;2024-11-17T00:35:58.100;188;0
1731789358.11;2024-11-17T00:35:58.110;188;0
1731789358.12;2024-11-17T00:35:58.120;188;0
1731789358.13;2024-11-17T00:35:58.130;188;0
1731789358.14;2024-11-17T00:35:58.140;188;0
1731789358.15;2024-11-17T00:35:58.150;187;0
1731789358.16;2024-11-17T00:35:58.160;187;0
1731789358.17;2024-11-17T00:35:58.170;187;0
1731789358.18;2024-11-17T00:35:58.180;187;0
1731789358.19;2024-11-17T00:35:58.190;187;0
1731789358.2;2024-11-17T00:35:58.200;187;0
1731789358.21;2024-11-17T00:35:58.210;187;0
1731789358.22;2024-11-17T00:35:58.220;187;0
1731789358.23;2024-11-17T00:35:58.230;187;0
1731789358.24;2024-11-17T00:35:58.240;187;0
1731789358.25;2024-11-17T00:35:58.250;188;0
1731789358.26;2024-11-17T00:35:58.260;188;0
1731789358.27;2024-11-17T00:35:58.270;188;0
1731789358.28;2024-11-17T00:35:58.280;188;0
1731789358.29;2024-11-17T00:35:58.290;188;0
1731789358.3;2024-11-17T00:35:58.300;188;0
1731789358.31;2024-11-17T00:35:58.310;188;0
1731789358.32;2024-11-17T00:35:58.320;188;0
1731789358.33;2024-11-17T00:35:58.330;188;0
1731789358.34;2024-11-17T00:35:58.340;188;0
1731789358.35;2024-11-17T00:35:58.350;187;0
1731789358.36;2024-11-17T00:35:58.360;187;0
1731789358.37;2024-11-17T00:35:58.370;187;0
1731789358.38;2024-11-17T00:35:58.380;187;0
1731789358.39;2024-11-17T00:35:58.390;187;0
1731789358.4;2024-11-17T00:35:58.400;187;0
1731789358.41;2024-11-17T00:35:58.410;187;0
1731789358.42;2024-11-17T00:35:58.420;187;0
1731789358.43;2024-11-17T00:35:58.430;187;0
1731789358.44;2024-11-17T00:35:58.440;187;0
1731789358.45;2024-11-17T00:35:58.450;187;0
1731789358.46;2024-11-17T00:35:58.460;187;0
1731789358.47;2024-11-17T00:35:58.470;187;0
1731789358.48;2024-11-17T00:35:58.480;187;0
1731789358.49;2024-11-17T00:35:58.490;187;0
1731789358.5;2024-11-17T00:35:58.500;187;0
1731789358.51;2024-11-17T00:35:58.510;187;0
1731789358.52;2024-11-17T00:35:58.520;187;0
1731789358.53;2024-11-17T00:35:58.530;187;0
1731789358.54;2024-11-17T00:35:58.540;187;0
1731789358.55;2024-11-17T00:35:58.550;188;0
1731789358.56;2024-11-17T00:35:58.560;188;0
1731789358.57;2024-11-17T00:35:58.570;188;0
1731789358.58;2024-11-17T00:35:58.580;188;0
1731789358.59;2024-11-17T00:35:58.590;188;0
1731789358.6;2024-11-17T00:35:58.600;188;0
1731789358.61;2024-11-17T00:35:58.610;188;0
1731789358.62;2024-11-17T00:35:58.620;188;0
1731789358.63;2024-11-17T00:35:58.630;188;0
1731789358.64;2024-11-17T00:35:58.640;188;0
1731789358.65;2024-11-17T00:35:58.650;191;0
1731789358.66;2024-11-17T00:35:58.660;191;0
1731789358.67;2024-11-17T00:35:58.670;191;0
1731789358.68;2024-11-17T00:35:58.680;191;0
1731789358.69;2024-11-17T00:35:58.690;191;0
1731789358.7;2024-11-17T00:35:58.700;191;0
1731789358.71;2024-11-17T00:35:58.710;191;0
1731789358.72;2024-11-17T00:35:58.720;191;0
1731789358.73;2024-11-17T00:35:58.730;191;0
1731789358.74;2024-11-17T00:35:58.740;191;0
1731789358.75;2024-11-17T00:35:58.750;187;0
1731789358.76;2024-11-17T00:35:58.760;187;0
1731789358.77;2024-11-17T00:35:58.770;187;0
1731789358.78;2024-11-17T00:35:58.780;187;0
1731789358.79;2024-11-17T00:35:58.790;187;0
1731789358.8;2024-11-17T00:35:58.800;187;0
1731789358.81;2024-11-17T00:35:58.810;187;0
1731789358.82;2024-11-17T00:35:58.820;187;0
1731789358.83;2024-11-17T00:35:58.830;187;0
1731789358.84;2024-11-17T00:35:58.840;187;0
1731789358.85;2024-11-17T00:35:58.850;188;0
1731789358.86;2024-11-17T00:35:58.860;188;0
1731789358.87;2024-11-17T00:35:58.870;188;0
1731789358.88;2024-11-17T00:35:58.880;188;0
1731789358.89;2024-11-17T00:35:58.890;188;0
1731789358.9;2024-11-17T00:35:58.900;188;0
1731789358.91;2024-11-17T00:35:58.910;188;0
1731789358.92;2024-11-17T00:35:58.920;188;0
1731789358.93;2024-11-17T00:35:58.930;188;0
1731789358.94;2024-11-17T00:35:58.940;188;0
1731789358.95;2024-11-17T00:35:58.950;188;0
1731789358.96;2024-11-17T00:35:58.960;188;0
1731789358.97;2024-11-17T00:35:58.970;188;0
1731789358.98;2024-11-17T00:35:58.980;188;0
1731789358.99;2024-11-17T00:35:58.990;188;0
1731789359;2024-11-17T00:35:59.000;188;0
1731789359.01;2024-11-17T00:35:59.010;188;0
1731789359.02;2024-11-17T00:35:59.020;188;0
1731789359.03;2024-11-17T00:35:59.030;188;0
1731789359.04;2024-11-17T00:35:59.040;188;0
1731789359.05;2024-11-17T00:35:59.050;189;0
1731789359.06;2024-11-17T00:35:59.060;189;0
1731789359.07;2024-11-17T00:35:59.070;189;0
1731789359.08;2024-11-17T00:35:59.080;189;0
1731789359.09;2024-11-17T00:35:59.090;189;0
1731789359.1;2024-11-17T00:35:59.100;189;0
1731789359.11;2024-11-17T00:35:59.110;189;0
1731789359.12;2024-11-17T00:35:59.120;189;0
1731789359.13;2024-11-17T00:35:59.130;189;0
1731789359.14;2024-11-17T00:35:59.140;189;0
1731789359.15;2024-11-17T00:35:59.150;188;0
