11-20-2024 22:29:40 RAM 2302/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@729,31%@729,16%@729,22%@729,83%@1510,3%@1510] GR3D_FREQ 55% cpu@45.656C soc2@44.5C soc0@43.781C gpu@46.062C tj@46.062C soc1@43.5C VDD_IN 5594mW/5594mW VDD_CPU_GPU_CV 1663mW/1663mW VDD_SOC 1587mW/1587mW
11-20-2024 22:29:41 RAM 2301/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [22%@729,21%@729,12%@729,12%@729,100%@1510,2%@1510] GR3D_FREQ 42% cpu@46C soc2@44.562C soc0@43.906C gpu@46.25C tj@46.25C soc1@43.468C VDD_IN 5634mW/5614mW VDD_CPU_GPU_CV 1703mW/1683mW VDD_SOC 1587mW/1587mW
11-20-2024 22:29:42 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [10%@729,9%@729,5%@729,13%@729,21%@729,14%@729] GR3D_FREQ 7% cpu@45.406C soc2@44.5C soc0@43.968C gpu@46.125C tj@46.125C soc1@43.437C VDD_IN 4632mW/5287mW VDD_CPU_GPU_CV 878mW/1415mW VDD_SOC 1397mW/1524mW
11-20-2024 22:29:43 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@1510,6%@1510,1%@1510,6%@1510,1%@729,6%@729] GR3D_FREQ 8% cpu@45.625C soc2@44.437C soc0@43.781C gpu@45.718C tj@45.718C soc1@43.437C VDD_IN 4407mW/5067mW VDD_CPU_GPU_CV 760mW/1251mW VDD_SOC 1360mW/1483mW
11-20-2024 22:29:44 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [6%@729,6%@729,2%@729,9%@729,1%@729,0%@729] GR3D_FREQ 7% cpu@45.25C soc2@44.437C soc0@43.843C gpu@45.781C tj@45.781C soc1@43.625C VDD_IN 4326mW/4919mW VDD_CPU_GPU_CV 721mW/1145mW VDD_SOC 1362mW/1459mW
11-20-2024 22:29:45 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [7%@1510,6%@1510,12%@1510,3%@1510,0%@729,0%@729] GR3D_FREQ 7% cpu@45.25C soc2@44.437C soc0@43.937C gpu@45.5C tj@45.5C soc1@43.406C VDD_IN 4366mW/4827mW VDD_CPU_GPU_CV 720mW/1074mW VDD_SOC 1362mW/1443mW
11-20-2024 22:29:46 RAM 2278/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [10%@729,7%@729,9%@729,12%@729,0%@729,0%@729] GR3D_FREQ 14% cpu@45.437C soc2@44.437C soc0@43.75C gpu@45.562C tj@45.562C soc1@43.531C VDD_IN 4407mW/4767mW VDD_CPU_GPU_CV 760mW/1029mW VDD_SOC 1362mW/1431mW
11-20-2024 22:29:47 RAM 2298/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [16%@1510,17%@1510,18%@1510,31%@1510,8%@729,8%@729] GR3D_FREQ 6% cpu@46C soc2@44.468C soc0@43.875C gpu@45.593C tj@46C soc1@43.5C VDD_IN 4864mW/4779mW VDD_CPU_GPU_CV 1114mW/1040mW VDD_SOC 1435mW/1432mW
11-20-2024 22:29:48 RAM 2299/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [20%@1510,9%@1510,17%@1510,100%@1510,4%@729,5%@729] GR3D_FREQ 51% cpu@45.562C soc2@44.593C soc0@43.906C gpu@45.875C tj@45.875C soc1@43.593C VDD_IN 5356mW/4843mW VDD_CPU_GPU_CV 1465mW/1087mW VDD_SOC 1547mW/1444mW
11-20-2024 22:29:49 RAM 2299/7620MB (lfb 2x4MB) SWAP 0/3810MB (cached 0MB) CPU [17%@1510,11%@1510,12%@1510,100%@1510,5%@729,2%@729] GR3D_FREQ 30% cpu@45.687C soc2@44.656C soc0@43.968C gpu@45.968C tj@45.968C soc1@43.656C VDD_IN 5396mW/4898mW VDD_CPU_GPU_CV 1545mW/1133mW VDD_SOC 1545mW/1454mW
