UNIX time;Local time;current1;current2


























































































































1737489987.89;2025-01-22T00:06:27.890;509;0
1737489987.9;2025-01-22T00:06:27.900;552;0
1737489987.91;2025-01-22T00:06:27.910;552;0
1737489987.92;2025-01-22T00:06:27.920;552;0
1737489987.93;2025-01-22T00:06:27.930;552;0
1737489987.94;2025-01-22T00:06:27.940;552;0
1737489987.95;2025-01-22T00:06:27.950;552;0
1737489987.96;2025-01-22T00:06:27.960;552;0
1737489987.97;2025-01-22T00:06:27.970;552;0
1737489987.98;2025-01-22T00:06:27.980;552;0
1737489987.99;2025-01-22T00:06:27.990;552;0
1737489988;2025-01-22T00:06:28.000;780;0
1737489988.01;2025-01-22T00:06:28.010;780;0
1737489988.02;2025-01-22T00:06:28.020;780;0
1737489988.03;2025-01-22T00:06:28.030;780;0
1737489988.04;2025-01-22T00:06:28.040;780;0
1737489988.05;2025-01-22T00:06:28.050;780;0
1737489988.06;2025-01-22T00:06:28.060;780;0
1737489988.07;2025-01-22T00:06:28.070;780;0
1737489988.08;2025-01-22T00:06:28.080;780;0
1737489988.09;2025-01-22T00:06:28.090;780;0
1737489988.1;2025-01-22T00:06:28.100;793;0
1737489988.11;2025-01-22T00:06:28.110;793;0
1737489988.12;2025-01-22T00:06:28.120;793;0
1737489988.13;2025-01-22T00:06:28.130;793;0
1737489988.14;2025-01-22T00:06:28.140;793;0
1737489988.15;2025-01-22T00:06:28.150;793;0
1737489988.16;2025-01-22T00:06:28.160;793;0
1737489988.17;2025-01-22T00:06:28.170;793;0
1737489988.18;2025-01-22T00:06:28.180;793;0
1737489988.19;2025-01-22T00:06:28.190;793;0
1737489988.2;2025-01-22T00:06:28.200;964;0
1737489988.21;2025-01-22T00:06:28.210;964;0
1737489988.22;2025-01-22T00:06:28.220;964;0
1737489988.23;2025-01-22T00:06:28.230;964;0
1737489988.24;2025-01-22T00:06:28.240;964;0
1737489988.25;2025-01-22T00:06:28.250;964;0
1737489988.26;2025-01-22T00:06:28.260;964;0
1737489988.27;2025-01-22T00:06:28.270;964;0
1737489988.28;2025-01-22T00:06:28.280;964;0
1737489988.29;2025-01-22T00:06:28.290;964;0
1737489988.3;2025-01-22T00:06:28.300;1006;0
1737489988.31;2025-01-22T00:06:28.310;1006;0
1737489988.32;2025-01-22T00:06:28.320;1006;0
1737489988.33;2025-01-22T00:06:28.330;1006;0
1737489988.34;2025-01-22T00:06:28.340;1006;0
1737489988.35;2025-01-22T00:06:28.350;1006;0
1737489988.36;2025-01-22T00:06:28.360;1006;0
1737489988.37;2025-01-22T00:06:28.370;1006;0
1737489988.38;2025-01-22T00:06:28.380;1006;0
1737489988.39;2025-01-22T00:06:28.390;1006;0
1737489988.4;2025-01-22T00:06:28.400;1006;0
1737489988.41;2025-01-22T00:06:28.410;1006;0
1737489988.42;2025-01-22T00:06:28.420;1006;0
1737489988.43;2025-01-22T00:06:28.430;1006;0
1737489988.44;2025-01-22T00:06:28.440;1006;0
