UNIX time;Local time;current1;current2
1737488269.11;2025-01-21T23:37:49.110;513;0
1737488269.12;2025-01-21T23:37:49.120;513;0
1737488269.13;2025-01-21T23:37:49.130;513;0
1737488269.14;2025-01-21T23:37:49.140;513;0
1737488269.15;2025-01-21T23:37:49.150;513;0
1737488269.16;2025-01-21T23:37:49.160;513;0
1737488269.17;2025-01-21T23:37:49.170;513;0
1737488269.18;2025-01-21T23:37:49.180;513;0
1737488269.19;2025-01-21T23:37:49.190;655;0
1737488269.2;2025-01-21T23:37:49.200;655;0
1737488269.21;2025-01-21T23:37:49.210;655;0
1737488269.22;2025-01-21T23:37:49.220;655;0
1737488269.23;2025-01-21T23:37:49.230;655;0
1737488269.24;2025-01-21T23:37:49.240;655;0
1737488269.25;2025-01-21T23:37:49.250;655;0
1737488269.26;2025-01-21T23:37:49.260;655;0
1737488269.27;2025-01-21T23:37:49.270;655;0
1737488269.28;2025-01-21T23:37:49.280;655;0
1737488269.29;2025-01-21T23:37:49.290;851;0
1737488269.3;2025-01-21T23:37:49.300;851;0
1737488269.31;2025-01-21T23:37:49.310;851;0
1737488269.32;2025-01-21T23:37:49.320;851;0
1737488269.33;2025-01-21T23:37:49.330;851;0
1737488269.34;2025-01-21T23:37:49.340;851;0
1737488269.35;2025-01-21T23:37:49.350;851;0
1737488269.36;2025-01-21T23:37:49.360;851;0
1737488269.37;2025-01-21T23:37:49.370;851;0
1737488269.38;2025-01-21T23:37:49.380;851;0
1737488269.39;2025-01-21T23:37:49.390;863;0
1737488269.4;2025-01-21T23:37:49.400;863;0
1737488269.41;2025-01-21T23:37:49.410;863;0
1737488269.42;2025-01-21T23:37:49.420;863;0
1737488269.43;2025-01-21T23:37:49.430;863;0
1737488269.44;2025-01-21T23:37:49.440;863;0
1737488269.45;2025-01-21T23:37:49.450;863;0
1737488269.46;2025-01-21T23:37:49.460;863;0
1737488269.47;2025-01-21T23:37:49.470;863;0
1737488269.48;2025-01-21T23:37:49.480;863;0
1737488269.49;2025-01-21T23:37:49.490;853;0
1737488269.5;2025-01-21T23:37:49.500;853;0
1737488269.51;2025-01-21T23:37:49.510;853;0
1737488269.52;2025-01-21T23:37:49.520;853;0
1737488269.53;2025-01-21T23:37:49.530;853;0
1737488269.54;2025-01-21T23:37:49.540;853;0
1737488269.55;2025-01-21T23:37:49.550;853;0
1737488269.56;2025-01-21T23:37:49.560;853;0
1737488269.57;2025-01-21T23:37:49.570;853;0
1737488269.58;2025-01-21T23:37:49.580;853;0
1737488269.59;2025-01-21T23:37:49.590;910;0
1737488269.6;2025-01-21T23:37:49.600;910;0
1737488269.61;2025-01-21T23:37:49.610;910;0
1737488269.62;2025-01-21T23:37:49.620;910;0
1737488269.63;2025-01-21T23:37:49.630;910;0
1737488269.64;2025-01-21T23:37:49.640;910;0
1737488269.65;2025-01-21T23:37:49.650;910;0
1737488269.66;2025-01-21T23:37:49.660;910;0
1737488269.67;2025-01-21T23:37:49.670;910;0
1737488269.68;2025-01-21T23:37:49.680;910;0
1737488269.69;2025-01-21T23:37:49.690;853;0
1737488269.7;2025-01-21T23:37:49.700;853;0
1737488269.71;2025-01-21T23:37:49.710;853;0
1737488269.72;2025-01-21T23:37:49.720;853;0
1737488269.73;2025-01-21T23:37:49.730;853;0
1737488269.74;2025-01-21T23:37:49.740;853;0
1737488269.75;2025-01-21T23:37:49.750;853;0
1737488269.76;2025-01-21T23:37:49.760;853;0
1737488269.77;2025-01-21T23:37:49.770;853;0
1737488269.78;2025-01-21T23:37:49.780;853;0
1737488269.79;2025-01-21T23:37:49.790;862;0
1737488269.8;2025-01-21T23:37:49.800;862;0
1737488269.81;2025-01-21T23:37:49.810;862;0
1737488269.82;2025-01-21T23:37:49.820;862;0
1737488269.83;2025-01-21T23:37:49.830;862;0
1737488269.84;2025-01-21T23:37:49.840;862;0
1737488269.85;2025-01-21T23:37:49.850;862;0
1737488269.86;2025-01-21T23:37:49.860;862;0
1737488269.87;2025-01-21T23:37:49.870;862;0
1737488269.88;2025-01-21T23:37:49.880;862;0
1737488269.89;2025-01-21T23:37:49.890;854;0
1737488269.9;2025-01-21T23:37:49.900;854;0
1737488269.91;2025-01-21T23:37:49.910;854;0
1737488269.92;2025-01-21T23:37:49.920;854;0
1737488269.93;2025-01-21T23:37:49.930;854;0
1737488269.94;2025-01-21T23:37:49.940;854;0
1737488269.95;2025-01-21T23:37:49.950;854;0
1737488269.96;2025-01-21T23:37:49.960;854;0
1737488269.97;2025-01-21T23:37:49.970;854;0
1737488269.98;2025-01-21T23:37:49.980;854;0
1737488269.99;2025-01-21T23:37:49.990;862;0
1737488270;2025-01-21T23:37:50.000;862;0
1737488270.01;2025-01-21T23:37:50.010;862;0
1737488270.02;2025-01-21T23:37:50.020;862;0
1737488270.03;2025-01-21T23:37:50.030;862;0
1737488270.04;2025-01-21T23:37:50.040;862;0
1737488270.05;2025-01-21T23:37:50.050;862;0
1737488270.06;2025-01-21T23:37:50.060;862;0
1737488270.07;2025-01-21T23:37:50.070;862;0
1737488270.08;2025-01-21T23:37:50.080;862;0
1737488270.09;2025-01-21T23:37:50.090;853;0
1737488270.1;2025-01-21T23:37:50.100;853;0
1737488270.11;2025-01-21T23:37:50.110;853;0
1737488270.12;2025-01-21T23:37:50.120;853;0
1737488270.13;2025-01-21T23:37:50.130;853;0
1737488270.14;2025-01-21T23:37:50.140;853;0
1737488270.15;2025-01-21T23:37:50.150;853;0
1737488270.16;2025-01-21T23:37:50.160;853;0
1737488270.17;2025-01-21T23:37:50.170;853;0
1737488270.18;2025-01-21T23:37:50.180;853;0
1737488270.19;2025-01-21T23:37:50.190;880;0
1737488270.2;2025-01-21T23:37:50.200;880;0
1737488270.21;2025-01-21T23:37:50.210;880;0
1737488270.22;2025-01-21T23:37:50.220;880;0
1737488270.23;2025-01-21T23:37:50.230;880;0
1737488270.24;2025-01-21T23:37:50.240;880;0
1737488270.25;2025-01-21T23:37:50.250;880;0
