UNIX time;Local time;current1;current2
1731704658.11;2024-11-16T01:04:18.110;341;0
1731704658.12;2024-11-16T01:04:18.120;341;0
1731704658.13;2024-11-16T01:04:18.130;341;0
1731704658.14;2024-11-16T01:04:18.140;341;0
1731704658.15;2024-11-16T01:04:18.150;341;0
1731704658.16;2024-11-16T01:04:18.160;341;0
1731704658.17;2024-11-16T01:04:18.170;350;0
1731704658.18;2024-11-16T01:04:18.180;350;0
1731704658.19;2024-11-16T01:04:18.190;350;0
1731704658.2;2024-11-16T01:04:18.200;350;0
1731704658.21;2024-11-16T01:04:18.210;350;0
1731704658.22;2024-11-16T01:04:18.220;350;0
1731704658.23;2024-11-16T01:04:18.230;350;0
1731704658.24;2024-11-16T01:04:18.240;350;0
1731704658.25;2024-11-16T01:04:18.250;350;0
1731704658.26;2024-11-16T01:04:18.260;350;0
1731704658.27;2024-11-16T01:04:18.270;363;0
1731704658.28;2024-11-16T01:04:18.280;363;0
1731704658.29;2024-11-16T01:04:18.290;363;0
1731704658.3;2024-11-16T01:04:18.300;363;0
1731704658.31;2024-11-16T01:04:18.310;363;0
1731704658.32;2024-11-16T01:04:18.320;363;0
1731704658.33;2024-11-16T01:04:18.330;363;0
1731704658.34;2024-11-16T01:04:18.340;363;0
1731704658.35;2024-11-16T01:04:18.350;363;0
1731704658.36;2024-11-16T01:04:18.360;363;0
1731704658.37;2024-11-16T01:04:18.370;341;0
1731704658.38;2024-11-16T01:04:18.380;341;0
1731704658.39;2024-11-16T01:04:18.390;341;0
1731704658.4;2024-11-16T01:04:18.400;341;0
1731704658.41;2024-11-16T01:04:18.410;341;0
1731704658.42;2024-11-16T01:04:18.420;341;0
1731704658.43;2024-11-16T01:04:18.430;341;0
1731704658.44;2024-11-16T01:04:18.440;341;0
1731704658.45;2024-11-16T01:04:18.450;341;0
1731704658.46;2024-11-16T01:04:18.460;341;0
1731704658.47;2024-11-16T01:04:18.470;345;0
1731704658.48;2024-11-16T01:04:18.480;345;0
1731704658.49;2024-11-16T01:04:18.490;345;0
1731704658.5;2024-11-16T01:04:18.500;345;0
1731704658.51;2024-11-16T01:04:18.510;345;0
1731704658.52;2024-11-16T01:04:18.520;345;0
1731704658.53;2024-11-16T01:04:18.530;345;0
1731704658.54;2024-11-16T01:04:18.540;345;0
1731704658.55;2024-11-16T01:04:18.550;345;0
1731704658.56;2024-11-16T01:04:18.560;345;0
1731704658.57;2024-11-16T01:04:18.570;347;0
1731704658.58;2024-11-16T01:04:18.580;347;0
1731704658.59;2024-11-16T01:04:18.590;347;0
1731704658.6;2024-11-16T01:04:18.600;347;0
1731704658.61;2024-11-16T01:04:18.610;347;0
1731704658.62;2024-11-16T01:04:18.620;347;0
1731704658.63;2024-11-16T01:04:18.630;347;0
1731704658.64;2024-11-16T01:04:18.640;347;0
1731704658.65;2024-11-16T01:04:18.650;347;0
1731704658.66;2024-11-16T01:04:18.660;347;0
1731704658.67;2024-11-16T01:04:18.670;346;0
1731704658.68;2024-11-16T01:04:18.680;346;0
1731704658.69;2024-11-16T01:04:18.690;346;0
1731704658.7;2024-11-16T01:04:18.700;346;0
1731704658.71;2024-11-16T01:04:18.710;346;0
1731704658.72;2024-11-16T01:04:18.720;346;0
1731704658.73;2024-11-16T01:04:18.730;346;0
1731704658.74;2024-11-16T01:04:18.740;346;0
1731704658.75;2024-11-16T01:04:18.750;346;0
1731704658.76;2024-11-16T01:04:18.760;346;0
1731704658.77;2024-11-16T01:04:18.770;350;0
1731704658.78;2024-11-16T01:04:18.780;350;0
1731704658.79;2024-11-16T01:04:18.790;350;0
