UNIX time;Local time;current1;current2
1731704807.57;2024-11-16T01:06:47.570;263;0
1731704807.58;2024-11-16T01:06:47.580;271;0
1731704807.59;2024-11-16T01:06:47.590;271;0
1731704807.6;2024-11-16T01:06:47.600;271;0
1731704807.61;2024-11-16T01:06:47.610;271;0
1731704807.62;2024-11-16T01:06:47.620;271;0
1731704807.63;2024-11-16T01:06:47.630;271;0
1731704807.64;2024-11-16T01:06:47.640;271;0
1731704807.65;2024-11-16T01:06:47.650;271;0
1731704807.66;2024-11-16T01:06:47.660;271;0
1731704807.67;2024-11-16T01:06:47.670;271;0
1731704807.68;2024-11-16T01:06:47.680;266;0
1731704807.69;2024-11-16T01:06:47.690;266;0
1731704807.7;2024-11-16T01:06:47.700;266;0
1731704807.71;2024-11-16T01:06:47.710;266;0
1731704807.72;2024-11-16T01:06:47.720;266;0
1731704807.73;2024-11-16T01:06:47.730;266;0
1731704807.74;2024-11-16T01:06:47.740;266;0
1731704807.75;2024-11-16T01:06:47.750;266;0
1731704807.76;2024-11-16T01:06:47.760;266;0
1731704807.77;2024-11-16T01:06:47.770;266;0
1731704807.78;2024-11-16T01:06:47.780;265;0
1731704807.79;2024-11-16T01:06:47.790;265;0
1731704807.8;2024-11-16T01:06:47.800;265;0
1731704807.81;2024-11-16T01:06:47.810;265;0
1731704807.82;2024-11-16T01:06:47.820;265;0
1731704807.83;2024-11-16T01:06:47.830;265;0
1731704807.84;2024-11-16T01:06:47.840;265;0
1731704807.85;2024-11-16T01:06:47.850;265;0
1731704807.86;2024-11-16T01:06:47.860;265;0
1731704807.87;2024-11-16T01:06:47.870;265;0
1731704807.88;2024-11-16T01:06:47.880;286;0
1731704807.89;2024-11-16T01:06:47.890;286;0
1731704807.9;2024-11-16T01:06:47.900;286;0
1731704807.91;2024-11-16T01:06:47.910;286;0
1731704807.92;2024-11-16T01:06:47.920;286;0
1731704807.93;2024-11-16T01:06:47.930;286;0
1731704807.94;2024-11-16T01:06:47.940;286;0
1731704807.95;2024-11-16T01:06:47.950;286;0
1731704807.96;2024-11-16T01:06:47.960;286;0
1731704807.97;2024-11-16T01:06:47.970;286;0
1731704807.98;2024-11-16T01:06:47.980;286;0
1731704807.99;2024-11-16T01:06:47.990;287;0
1731704808;2024-11-16T01:06:48.000;287;0
1731704808.01;2024-11-16T01:06:48.010;287;0
1731704808.02;2024-11-16T01:06:48.020;287;0
1731704808.03;2024-11-16T01:06:48.030;287;0
1731704808.04;2024-11-16T01:06:48.040;287;0
1731704808.05;2024-11-16T01:06:48.050;287;0
1731704808.06;2024-11-16T01:06:48.060;287;0
1731704808.07;2024-11-16T01:06:48.070;287;0
1731704808.08;2024-11-16T01:06:48.080;370;0
1731704808.09;2024-11-16T01:06:48.090;370;0
1731704808.1;2024-11-16T01:06:48.100;370;0
1731704808.11;2024-11-16T01:06:48.110;370;0
1731704808.12;2024-11-16T01:06:48.120;370;0
1731704808.13;2024-11-16T01:06:48.130;370;0
1731704808.14;2024-11-16T01:06:48.140;370;0
1731704808.15;2024-11-16T01:06:48.150;370;0
1731704808.16;2024-11-16T01:06:48.160;370;0
1731704808.17;2024-11-16T01:06:48.170;370;0
1731704808.18;2024-11-16T01:06:48.180;318;0
1731704808.19;2024-11-16T01:06:48.190;318;0
1731704808.2;2024-11-16T01:06:48.200;318;0
1731704808.21;2024-11-16T01:06:48.210;318;0
1731704808.22;2024-11-16T01:06:48.220;318;0
1731704808.23;2024-11-16T01:06:48.230;318;0
1731704808.24;2024-11-16T01:06:48.240;318;0
1731704808.25;2024-11-16T01:06:48.250;318;0
1731704808.26;2024-11-16T01:06:48.260;318;0
1731704808.27;2024-11-16T01:06:48.270;318;0
1731704808.28;2024-11-16T01:06:48.280;266;0
1731704808.29;2024-11-16T01:06:48.290;266;0
1731704808.3;2024-11-16T01:06:48.300;266;0
1731704808.31;2024-11-16T01:06:48.310;266;0
1731704808.32;2024-11-16T01:06:48.320;266;0
1731704808.33;2024-11-16T01:06:48.330;266;0
1731704808.34;2024-11-16T01:06:48.340;266;0
1731704808.35;2024-11-16T01:06:48.350;266;0
1731704808.36;2024-11-16T01:06:48.360;266;0
1731704808.37;2024-11-16T01:06:48.370;266;0
1731704808.38;2024-11-16T01:06:48.380;272;0
1731704808.39;2024-11-16T01:06:48.390;272;0
1731704808.4;2024-11-16T01:06:48.400;272;0
1731704808.41;2024-11-16T01:06:48.410;272;0
1731704808.42;2024-11-16T01:06:48.420;272;0
1731704808.43;2024-11-16T01:06:48.430;272;0
1731704808.44;2024-11-16T01:06:48.440;272;0
1731704808.45;2024-11-16T01:06:48.450;272;0
1731704808.46;2024-11-16T01:06:48.460;272;0
1731704808.47;2024-11-16T01:06:48.470;272;0
1731704808.48;2024-11-16T01:06:48.480;264;0
1731704808.49;2024-11-16T01:06:48.490;264;0
