UNIX time;Local time;current1;current2
1731704324.4;2024-11-16T00:58:44.400;312;0
1731704324.41;2024-11-16T00:58:44.410;312;0
1731704324.42;2024-11-16T00:58:44.420;312;0
1731704324.43;2024-11-16T00:58:44.430;312;0
1731704324.44;2024-11-16T00:58:44.440;312;0
1731704324.45;2024-11-16T00:58:44.450;312;0
1731704324.46;2024-11-16T00:58:44.460;312;0
1731704324.47;2024-11-16T00:58:44.470;322;0
1731704324.48;2024-11-16T00:58:44.480;322;0
1731704324.49;2024-11-16T00:58:44.490;322;0
1731704324.5;2024-11-16T00:58:44.500;322;0
1731704324.51;2024-11-16T00:58:44.510;322;0
1731704324.52;2024-11-16T00:58:44.520;322;0
1731704324.53;2024-11-16T00:58:44.530;322;0
1731704324.54;2024-11-16T00:58:44.540;322;0
1731704324.55;2024-11-16T00:58:44.550;322;0
1731704324.56;2024-11-16T00:58:44.560;322;0
1731704324.57;2024-11-16T00:58:44.570;328;0
1731704324.58;2024-11-16T00:58:44.580;328;0
1731704324.59;2024-11-16T00:58:44.590;328;0
1731704324.6;2024-11-16T00:58:44.600;328;0
1731704324.61;2024-11-16T00:58:44.610;328;0
1731704324.62;2024-11-16T00:58:44.620;328;0
1731704324.63;2024-11-16T00:58:44.630;328;0
1731704324.64;2024-11-16T00:58:44.640;328;0
1731704324.65;2024-11-16T00:58:44.650;328;0
1731704324.66;2024-11-16T00:58:44.660;328;0
1731704324.67;2024-11-16T00:58:44.670;348;0
1731704324.68;2024-11-16T00:58:44.680;348;0
1731704324.69;2024-11-16T00:58:44.690;348;0
1731704324.7;2024-11-16T00:58:44.700;348;0
1731704324.71;2024-11-16T00:58:44.710;348;0
1731704324.72;2024-11-16T00:58:44.720;348;0
1731704324.73;2024-11-16T00:58:44.730;348;0
1731704324.74;2024-11-16T00:58:44.740;348;0
1731704324.75;2024-11-16T00:58:44.750;348;0
1731704324.76;2024-11-16T00:58:44.760;348;0
1731704324.77;2024-11-16T00:58:44.770;312;0
1731704324.78;2024-11-16T00:58:44.780;312;0
1731704324.79;2024-11-16T00:58:44.790;312;0
1731704324.8;2024-11-16T00:58:44.800;312;0
1731704324.81;2024-11-16T00:58:44.810;312;0
1731704324.82;2024-11-16T00:58:44.820;312;0
1731704324.83;2024-11-16T00:58:44.830;312;0
1731704324.84;2024-11-16T00:58:44.840;312;0
1731704324.85;2024-11-16T00:58:44.850;312;0
1731704324.86;2024-11-16T00:58:44.860;312;0
1731704324.87;2024-11-16T00:58:44.870;319;0
1731704324.88;2024-11-16T00:58:44.880;319;0
1731704324.89;2024-11-16T00:58:44.890;319;0
1731704324.9;2024-11-16T00:58:44.900;319;0
1731704324.91;2024-11-16T00:58:44.910;319;0
1731704324.92;2024-11-16T00:58:44.920;319;0
1731704324.93;2024-11-16T00:58:44.930;319;0
1731704324.94;2024-11-16T00:58:44.940;319;0
1731704324.95;2024-11-16T00:58:44.950;319;0
1731704324.96;2024-11-16T00:58:44.960;319;0
1731704324.97;2024-11-16T00:58:44.970;313;0
1731704324.98;2024-11-16T00:58:44.980;313;0
1731704324.99;2024-11-16T00:58:44.990;313;0
