UNIX time;Local time;current1;current2
1731704200.89;2024-11-16T00:56:40.890;257;0
1731704200.9;2024-11-16T00:56:40.900;257;0
1731704200.91;2024-11-16T00:56:40.910;257;0
1731704200.92;2024-11-16T00:56:40.920;257;0
1731704200.93;2024-11-16T00:56:40.930;257;0
1731704200.94;2024-11-16T00:56:40.940;257;0
1731704200.95;2024-11-16T00:56:40.950;257;0
1731704200.96;2024-11-16T00:56:40.960;265;0
1731704200.97;2024-11-16T00:56:40.970;265;0
1731704200.98;2024-11-16T00:56:40.980;265;0
1731704200.99;2024-11-16T00:56:40.990;265;0
1731704201;2024-11-16T00:56:41.000;265;0
1731704201.01;2024-11-16T00:56:41.010;265;0
1731704201.02;2024-11-16T00:56:41.020;265;0
1731704201.03;2024-11-16T00:56:41.030;265;0
1731704201.04;2024-11-16T00:56:41.040;265;0
1731704201.05;2024-11-16T00:56:41.050;265;0
1731704201.06;2024-11-16T00:56:41.060;257;0
1731704201.07;2024-11-16T00:56:41.070;257;0
1731704201.08;2024-11-16T00:56:41.080;257;0
1731704201.09;2024-11-16T00:56:41.090;257;0
1731704201.1;2024-11-16T00:56:41.100;257;0
1731704201.11;2024-11-16T00:56:41.110;257;0
1731704201.12;2024-11-16T00:56:41.120;257;0
1731704201.13;2024-11-16T00:56:41.130;257;0
1731704201.14;2024-11-16T00:56:41.140;257;0
1731704201.15;2024-11-16T00:56:41.150;257;0
1731704201.16;2024-11-16T00:56:41.160;265;0
1731704201.17;2024-11-16T00:56:41.170;265;0
1731704201.18;2024-11-16T00:56:41.180;265;0
1731704201.19;2024-11-16T00:56:41.190;265;0
1731704201.2;2024-11-16T00:56:41.200;265;0
1731704201.21;2024-11-16T00:56:41.210;265;0
1731704201.22;2024-11-16T00:56:41.220;265;0
1731704201.23;2024-11-16T00:56:41.230;265;0
1731704201.24;2024-11-16T00:56:41.240;265;0
1731704201.25;2024-11-16T00:56:41.250;265;0
1731704201.26;2024-11-16T00:56:41.260;272;0
1731704201.27;2024-11-16T00:56:41.270;272;0
1731704201.28;2024-11-16T00:56:41.280;272;0
1731704201.29;2024-11-16T00:56:41.290;272;0
1731704201.3;2024-11-16T00:56:41.300;272;0
1731704201.31;2024-11-16T00:56:41.310;272;0
1731704201.32;2024-11-16T00:56:41.320;272;0
1731704201.33;2024-11-16T00:56:41.330;272;0
1731704201.34;2024-11-16T00:56:41.340;272;0
1731704201.35;2024-11-16T00:56:41.350;272;0
1731704201.36;2024-11-16T00:56:41.360;268;0
1731704201.37;2024-11-16T00:56:41.370;268;0
1731704201.38;2024-11-16T00:56:41.380;268;0
1731704201.39;2024-11-16T00:56:41.390;268;0
1731704201.4;2024-11-16T00:56:41.400;268;0
1731704201.41;2024-11-16T00:56:41.410;268;0
1731704201.42;2024-11-16T00:56:41.420;268;0
1731704201.43;2024-11-16T00:56:41.430;268;0
1731704201.44;2024-11-16T00:56:41.440;268;0
1731704201.45;2024-11-16T00:56:41.450;268;0
1731704201.46;2024-11-16T00:56:41.460;257;0
1731704201.47;2024-11-16T00:56:41.470;257;0
1731704201.48;2024-11-16T00:56:41.480;257;0
1731704201.49;2024-11-16T00:56:41.490;257;0
1731704201.5;2024-11-16T00:56:41.500;257;0
1731704201.51;2024-11-16T00:56:41.510;257;0
1731704201.52;2024-11-16T00:56:41.520;257;0
1731704201.53;2024-11-16T00:56:41.530;257;0
1731704201.54;2024-11-16T00:56:41.540;257;0
1731704201.55;2024-11-16T00:56:41.550;257;0
1731704201.56;2024-11-16T00:56:41.560;265;0
1731704201.57;2024-11-16T00:56:41.570;265;0
1731704201.58;2024-11-16T00:56:41.580;265;0
